id,push_ms,poll_ms
0,0.893,2978.439
1,0.761,2587.511
2,0.806,2383.822
3,0.519,2149.474
4,0.498,2092.318
5,0.519,1715.867
6,0.445,1641.668
7,0.640,1527.591
8,0.519,1166.293
9,0.623,842.859
10,0.557,568.476
11,0.570,282.014
12,0.598,2885.170
13,0.494,2531.725
14,0.439,2491.718
15,0.475,2251.371
16,0.448,2017.936
17,0.454,1662.632
18,0.432,1530.456
19,0.475,1455.461
20,0.436,1287.340
21,0.406,1278.573
22,0.503,918.152
23,0.500,520.729
24,0.414,475.631
25,0.555,102.225
26,0.436,46.160
27,0.539,2782.329
28,0.448,2661.186
29,0.503,2650.155
30,0.555,2380.810
31,0.524,1986.473
32,0.430,1631.126
33,0.422,1381.840
34,0.485,1301.842
35,0.513,1109.637
36,0.427,1098.659
37,0.491,885.485
38,0.415,791.518
39,0.537,600.451
40,0.749,446.163
41,0.642,163.531
42,0.533,2967.852
43,0.582,2575.374
44,0.493,2377.120
45,0.514,2182.933
46,0.441,1963.929
47,0.588,1755.895
48,0.593,1672.585
49,0.541,1508.199
50,0.793,1218.855
51,0.725,1203.408
52,0.764,894.805
53,0.799,663.085
54,0.690,657.828
55,0.691,496.352
56,0.701,149.839
57,0.783,60.470
58,0.776,2752.083
59,0.725,2429.650
60,0.807,2032.920
61,0.757,1703.207
62,0.727,1594.773
63,0.861,1454.235
64,0.499,1317.780
65,0.439,1059.552
66,0.471,1037.623
67,0.542,748.360
68,0.477,630.085
69,0.537,287.731
70,0.524,195.543
71,0.539,2980.081
72,0.462,2769.790
73,0.463,2712.726
74,0.481,2526.664
75,0.751,2227.603
76,0.549,2215.220
77,0.589,2028.819
78,0.548,1726.464
79,0.888,1456.310
80,0.953,1411.498
81,0.462,1133.779
82,0.452,1083.724
83,0.493,757.491
84,0.496,609.423
85,0.478,226.956
86,0.336,222.082
87,0.465,2904.397
88,0.464,2562.006
89,0.462,2471.916
90,0.506,2249.907
91,0.463,2065.843
92,0.563,1901.811
93,0.539,1537.352
94,0.519,1159.957
95,0.530,1104.802
96,0.559,751.917
97,0.762,610.731
98,0.679,579.330
99,0.800,346.701
100,0.725,30.921
101,0.732,2782.047
102,0.677,2742.760
103,0.687,2671.455
104,0.732,2447.936
105,0.646,2432.713
106,0.871,2264.785
107,0.800,2231.253
108,0.716,2025.661
109,0.869,1730.989
110,0.655,1706.484
111,0.696,1429.925
112,0.757,1228.449
113,0.774,1003.905
114,0.805,765.332
115,0.716,396.652
116,0.494,358.391
117,0.450,130.160
118,0.509,10.139
119,0.623,2925.029
120,1.813,2895.592
121,0.530,2499.821
122,0.540,2449.816
123,0.529,2143.555
124,0.752,2137.307
125,0.538,1824.780
126,0.531,1750.717
127,0.494,1628.609
128,0.517,1495.509
129,0.597,1356.275
130,0.357,1349.344
131,0.500,1134.231
132,0.511,760.838
133,0.439,463.614
134,0.455,147.335
135,0.467,2793.798
136,0.459,2509.567
137,0.443,2115.288
138,0.430,1781.303
139,0.501,1644.105
140,0.571,1311.717
141,1.085,1238.476
142,0.512,1161.848
143,0.518,801.451
144,0.473,672.249
145,0.529,369.243
146,0.452,338.234
147,0.453,310.206
148,0.508,243.061
149,0.441,92.863
150,0.460,2815.372
151,0.821,2511.129
152,0.625,2484.525
153,0.551,2326.194
154,0.620,1959.780
155,0.655,1731.348
156,0.445,1386.771
157,0.569,1284.630
158,0.458,942.141
159,0.673,661.817
160,0.562,550.601
161,0.582,323.342
162,0.600,41.136
163,0.518,8.080
164,0.580,2627.712
165,0.638,2418.209
166,0.600,2258.872
167,0.466,2169.696
168,0.556,1803.184
169,0.530,1558.784
170,0.491,1547.847
171,0.449,1206.503
172,0.509,823.162
173,0.447,461.915
174,0.477,217.902
175,0.552,2978.176
176,0.477,2755.808
177,0.508,2653.695
178,0.436,2536.567
179,0.460,2344.433
180,0.530,2105.195
181,0.556,2041.970
182,0.474,1774.538
183,0.471,1722.530
184,0.644,1384.239
185,0.499,1320.884
186,0.667,1196.591
